Biblioteca,Título,Gênero,Ano de Lançamento
Steam,Sid Meier's Civilization III,Estratégia em turnos,2001
Origin,Sim City 2000 Special Edition,Simulação,1995
Steam,Sins of a Solar Empire: Rebellion,RTS,2008
Steam,Skyforge,MMORPG,2017
,Skyforge,MMORPG,2017
GoG,SOMA,Horror,2015
Steam,Soulworker,a-MMORPG / Hack and Slash,2018
Steam,Spec Ops: The Line,TPS,2012
Steam,Star Trek Online,TPS / MMORPG,2010
Blizzard,Starcraft,RTS,1998
Blizzard,Starcraft II - Heart of the Swarm,RTS,2013
Blizzard,Starcraft II - Legacy of Void,RTS,2015
Blizzard,Starcraft II - Nova Covert Operations,RTS,2016
Blizzard,Starcraft II - Wings of Liberty,RTS,2010
,Startrek Online,TPS / MMORPG,2010
Steam,Stories: The Path of Destinies,a-RPG,2016
Steam,Street Fighter V,Luta,2016
Epic Games,Subnautica,Survival,2018
GoG,Syberia,Aventura,2002
Steam,Tera,a-MMORPG,2012
,Tera,a-MMORPG,2012
Steam,The Bureau: XCOM Declassified,Shooter Tático,2013
Uplay,The Crew,Corrida,2014
Steam,The Darkness II,FPS,2012
Steam,The Flame in the Flood,Survival,2016
GoG,The King of Fighters 2002,Luta,2015 (PC)
Steam,The Red Solstice,MOBA,2015
GoG,The Witcher 2: Assassins of Kings - Enhanced Edition,a-RPG,2011
GoG,The Witcher: Enhanced Edition,a-RPG,2007
Uplay,Tom Clancy's Splinter Cell,Stealth,2002
Steam / Uplay,Tom Clancy's The Division,TPS / a-MMORPG,2016
Steam,Tomb Raider,Aventura,2013
Steam,Ultra Street Fighter IV,Luta,2009
GoG,Unreal Gold,FPS,1998
Steam,Viscera Cleanup Detail: Shadow Warrior,?,2013
Steam,Warframe,TPS / MMORPG,2013
Steam,Warhammer 40000: Space Marines,TPS / Hack and Slash,2011
Uplay,Watch_Dogs,Aventura,2014
Epic Games,What Remains of Edith Finch,Aventura,2017
Uplay,World in Conflict Complete Edition,RTS,2007
GoG,Xenonauts,Estratégia,2014
GoG,Ziggurat,FPS,2014
Game Sessions,Zombie Army: Trilogy,Shooter Tático,2015
Steam,Zombie Wars: Invasion,"Tower Defense",?
